9628293	HX279173	05/27/2014 11:00:00 PM	042XX N DAMEN AVE	0460	BATTERY	SIMPLE	ALLEY	false	false	1911	019	47	5	08B	1162213	1928170	2014	06/03/2014 12:44:29 PM	41.95856401080728	-87.67903270351968	(41.95856401080728, -87.67903270351968)
9628295	HX279156	05/27/2014 11:00:00 PM	019XX W CULLOM AVE	0460	BATTERY	SIMPLE	APARTMENT	false	false	1912	019	47	5	08B	1162908	1928616	2014	06/03/2014 12:44:29 PM	41.95977326573018	-87.67646505226506	(41.95977326573018, -87.67646505226506)
9628318	HX279257	05/27/2014 11:00:00 PM	053XX S MILLARD AVE	0810	THEFT	OVER $500	VEHICLE NON-COMMERCIAL	false	false	0822	008	23	62	06	1152905	1869067	2014	06/03/2014 12:44:29 PM	41.7965690149412	-87.71481847980924	(41.7965690149412, -87.71481847980924)
9628794	HX279467	05/27/2014 11:00:00 PM	070XX S PAULINA ST	1020	ARSON	BY FIRE	STREET	false	false	0735	007	17	67	09	1166267	1858071	2014	06/03/2014 12:44:29 PM	41.76612032383062	-87.66613147667482	(41.76612032383062, -87.66613147667482)
9630542	HX281022	05/27/2014 11:00:00 PM	013XX N CLEVELAND AVE	0820	THEFT	$500 AND UNDER	RESIDENCE PORCH/HALLWAY	false	false	1821	018	27	8	06	1172793	1909021	2014	06/03/2014 12:44:29 PM	41.90579013102806	-87.64070555742332	(41.90579013102806, -87.64070555742332)
9633383	HX279170	05/27/2014 10:57:00 PM	087XX S MAY ST	0486	BATTERY	DOMESTIC BATTERY SIMPLE	ALLEY	false	true	2222	022	21	71	08B	1170152	1846508	2014	06/03/2014 12:44:29 PM	41.734306327195156	-87.65222707745808	(41.734306327195156, -87.65222707745808)
9628280	HX279207	05/27/2014 10:52:00 PM	003XX W CHICAGO AVE	1156	DECEPTIVE PRACTICE	ATTEMPT - FINANCIAL IDENTITY THEFT	GAS STATION	false	false	1823	018	27	8	11	1173637	1905698	2014	06/03/2014 12:44:29 PM	41.896652900669416	-87.63770425519999	(41.896652900669416, -87.63770425519999)
9628265	HX279144	05/27/2014 10:50:00 PM	105XX S CORLISS AVE	0486	BATTERY	DOMESTIC BATTERY SIMPLE	RESIDENCE	true	true	0512	005	9	50	08B	1183476	1835470	2014	06/03/2014 12:44:29 PM	41.70371701675262	-87.60375708254321	(41.70371701675262, -87.60375708254321)
9628599	HX279460	05/27/2014 10:50:00 PM	086XX S BURNHAM AVE	1310	CRIMINAL DAMAGE	TO PROPERTY	RESIDENCE PORCH/HALLWAY	false	false	0423	004	10	46	14	1196359	1848169	2014	06/03/2014 12:44:29 PM	41.738255026077155	-87.55616311611239	(41.738255026077155, -87.55616311611239)
9628251	HX279152	05/27/2014 10:45:00 PM	008XX E 79TH ST	2170	NARCOTICS	POSSESSION OF DRUG EQUIPMENT	STREET	true	false	0624	006	8	44	18	1183306	1852770	2014	06/03/2014 12:44:29 PM	41.75119417882983	-87.60384272051469	(41.75119417882983, -87.60384272051469)
9628282	HX279139	05/27/2014 10:45:00 PM	116XX S LAFLIN ST	0486	BATTERY	DOMESTIC BATTERY SIMPLE	RESIDENCE	false	true	0524	005	34	53	08B	1168384	1827578	2014	06/03/2014 12:44:29 PM	41.68239763393257	-87.65924711338732	(41.68239763393257, -87.65924711338732)
9628258	HX279158	05/27/2014 10:40:00 PM	130XX S TORRENCE AVE	0486	BATTERY	DOMESTIC BATTERY SIMPLE	VEHICLE NON-COMMERCIAL	true	true	0434	004	10	55	08B	1195726	1819304	2014	06/03/2014 12:44:29 PM	41.65906219508732	-87.55943248768165	(41.65906219508732, -87.55943248768165)
9628242	HX279138	05/27/2014 10:40:00 PM	010XX N MONTICELLO AVE	3731	INTERFERENCE WITH PUBLIC OFFICER	OBSTRUCTING IDENTIFICATION	SIDEWALK	true	false	1112	011	27	23	24	1151899	1906564	2014	06/03/2014 12:44:29 PM	41.89948518484061	-87.71752157806421	(41.89948518484061, -87.71752157806421)
9628296	HX279122	05/27/2014 10:40:00 PM	038XX N WILTON AVE	1305	CRIMINAL DAMAGE	CRIMINAL DEFACEMENT	RESIDENCE	false	false	1923	019	44	6	14	1169202	1925858	2014	06/03/2014 12:44:29 PM	41.952070490189	-87.65340602522848	(41.952070490189, -87.65340602522848)
9628297	HX279121	05/27/2014 10:40:00 PM	038XX N WILTON AVE	1305	CRIMINAL DAMAGE	CRIMINAL DEFACEMENT	RESIDENCE	false	false	1923	019	44	6	14	1169202	1925839	2014	06/03/2014 12:44:29 PM	41.952018353472546	-87.65340657933642	(41.952018353472546, -87.65340657933642)
9628218	HX279136	05/27/2014 10:37:00 PM	045XX W MONROE ST	1506	PROSTITUTION	SOLICIT ON PUBLIC WAY	STREET	true	false	1113	011	28	26	16	1146243	1899241	2014	06/03/2014 12:44:29 PM	41.879499573418954	-87.73848267693027	(41.879499573418954, -87.73848267693027)
9628220	HX279137	05/27/2014 10:30:00 PM	045XX W MADISON ST	1506	PROSTITUTION	SOLICIT ON PUBLIC WAY	STREET	true	false	1113	011	28	26	16	1146332	1899675	2014	06/03/2014 12:44:29 PM	41.880688827204295	-87.73814482753701	(41.880688827204295, -87.73814482753701)
9628927	HX279422	05/27/2014 10:30:00 PM	053XX W JACKSON BLVD	0810	THEFT	OVER $500	STREET	false	false	1522	015	29	25	06	1141000	1898197	2014	06/03/2014 12:44:29 PM	41.876732809294964	-87.75776012758725	(41.876732809294964, -87.75776012758725)
9628370	HX279180	05/27/2014 10:30:00 PM	088XX S EXCHANGE AVE	0486	BATTERY	DOMESTIC BATTERY SIMPLE	APARTMENT	false	false	0423	004	10	46	08B	1197261	1846882	2014	06/03/2014 12:44:29 PM	41.734700995917024	-87.55290122892679	(41.734700995917024, -87.55290122892679)
9629617	HX280373	05/27/2014 10:30:00 PM	022XX N MAPLEWOOD AVE	0820	THEFT	$500 AND UNDER	ALLEY	false	false	1431	014	1	22	06	1158896	1915096	2014	06/03/2014 12:44:29 PM	41.9227569661149	-87.69158710610073	(41.9227569661149, -87.69158710610073)
9628231	HX279140	05/27/2014 10:25:00 PM	046XX W MADISON ST	1506	PROSTITUTION	SOLICIT ON PUBLIC WAY	STREET	true	false	1113	011	28	25	16	1145480	1899576	2014	06/03/2014 12:44:29 PM	41.880433330986996	-87.741275840707	(41.880433330986996, -87.741275840707)
9630843	HX281749	05/27/2014 10:19:00 PM	005XX W 97TH ST	1170	DECEPTIVE PRACTICE	IMPERSONATION	RESIDENCE	false	false	2223	022	21	73	11	1174186	1840602	2014	06/03/2014 12:44:29 PM	41.71801090153171	-87.63762324923934	(41.71801090153171, -87.63762324923934)
9628442	HX279316	05/27/2014 10:15:00 PM	069XX S PAULINA ST	1320	CRIMINAL DAMAGE	TO VEHICLE	STREET	false	false	0735	007	17	67	14	1166170	1858659	2014	06/03/2014 12:44:29 PM	41.76773593871478	-87.66647030713335	(41.76773593871478, -87.66647030713335)
9628224	HX279134	05/27/2014 10:15:00 PM	009XX S CICERO AVE	1506	PROSTITUTION	SOLICIT ON PUBLIC WAY	STREET	true	false	1533	015	24	25	16	1144492	1895501	2014	06/03/2014 12:44:29 PM	41.86926967435785	-87.74500628265731	(41.86926967435785, -87.74500628265731)
